Course	Room	Teacher	Time	Students
015248	6 / 6 / 6	TH129	4172060	51	3823192 3832060 3929575 3852217 4175478 4086270 
008420	32 / 32 / 40	TAYF	4177943	51	3819230 3823262 3930865 3970633 4003199 4005905 4096206 4164342 4231518 4280648 4002846 4094815 4096983 3875914 3931962 4140702 3930614 4169489 4091439 4093475 3822148 3901936 3929810 4170524 4181991 3851736 4074784 4096186 4278454 3953233 3914696 3759024 
015016	18 / 18 / 45	TH224	3764403	52	3824908 4129668 3816992 3910618 4000862 4002113 3975962 4278034 4280721 4002204 4002909 4023528 4143065 4180395 4181243 4003319 4279035 3559872 
015500	23 / 23 / 40	TAYF	0695890	53	3824908 4090841 4094613 4175373 4000483 3929237 3931453 3768356 4277525 3715155 3855583 3910576 3910656 3988063 4086317 4086424 4175523 4175551 3768339 4003415 4175531 4086379 4086254 
017105	7 / 7 / 28	TH104	3436165	52	3827187 4092823 4001662 3816860 3910684 4093165 3910630 
016985	9 / 11 / 9	DAL212E	1024995	54	3829442 3929635 4003485 3773692 3818675 4170477 3930721 3790928 3930190 
001424	19 / 20 / 28	TH104	0020093	53	3915054 4193293 4277616 4278383 4023381 4175357 4256760 4371940 4055257 4152351 4281886 4086501 4280182 3922150 3932941 4175482 3914552 3930260 4371026 
001444	15 / 15 / 28	TH104	0853792	54	3592680 3832060 3994876 4176818 4093370 4276784 3930042 3920668 3904102 3661465 4263456 3910673 4158080 3930260 3819433 
001457	3 / 3 / 28	TH104	0901151	55	3832060 3758075 3768972 
008495	1 / 2 / 40	TAYF	0316015	55	3833424 
017126	6 / 6 / 40	TAYF	4354081	57	3767997 3834985 3852791 3931202 3931688 3931959 
001774	6 / 12 / 12	TH102	3474420	56	3839352 3913396 4096914 3910643 4175383 4086246 
016844	17 / 17 / 28	TH104	0031572	58	3839352 3903833 4023438 4278366 3788990 3821269 3930070 3915044 4095930 4175470 4093324 4086083 4175405 4175331 3788983 3913815 4086445 
006565	9 / 12 / 9	DAL212E	0031399	60	3910179 3816963 3768620 3458065 3975519 3914371 3848104 4043790 3929102 
005723	11 / 19 / 28	TH104	4170914	56	4158492 4174272 4180435 4276333 4003389 3975962 4280050 4001712 4175388 4280642 4175309 
006041	13 / 13 / 19	PK336	3818520	57	3817507 3833424 3850568 3915267 3928890 4092771 4093607 4175453 3936964 3917445 4280948 4087228 3690361 
006045	19 / 19 / 19	PK336	0031526	58	3850568 3887957 4092290 4092833 3821958 3973885 4091806 4091936 4095080 3691783 3796906 3922542 4017901 4092769 3930301 4095086 4093423 4095234 3667464 
007878	7 / 10 / 13	RCCON	0031386	59	3851827 4094832 4127367 4174480 4372037 4372208 4371973 
002164	10 / 10 / 44	PK179	0180723	59	3852207 3929812 3929815 3994876 4097018 3915029 3930678 3799474 3902440 3929954 
011827	11 / 11 / 44	PK179	4090501	60	3852207 3861339 3915054 3929812 3929815 4097018 3915029 3930678 3799474 3902440 3929954 
014569	24 / 152 / 24	PK126	0409956	61	3852207 3915155 3931946 3937160 3994652 4090749 4093315 4093409 4093612 4129668 4151426 4155489 4158492 4164342 4229863 4231518 4252142 4278465 4279708 4281868 3941070 4041708 4127014 4150362 
014969	6 / 7 / 40	TAYF	3448653	61	3852520 3821162 3930118 3821254 3929651 3821004 
001871	3 / 3 / 19	PK259	4090501	62	3854723 3789493 3774808 
011190	12 / 13 / 24	PK126	4354090	62	3860357 3902911 3910185 3913863 3902439 3930253 3930841 3821254 4091785 4086477 3694668 3915088 
002368	40 / 58 / 40	TAYF	0697660	63	3861339 3905822 3915267 3937982 4000795 4091784 4140259 4176023 4176818 4236548 4258417 4278366 4278394 4278528 4278618 4281628 4282115 4044003 4170444 4175303 4086315 4175344 4175408 4094012 4140702 3930485 4003130 4372052 3995827 4174366 4243051 4372200 4279920 4372210 4181151 4280946 4371959 4371991 3756293 3913781 
008769	14 / 16 / 28	TH104	3996107	63	3876667 4034558 4093409 4140278 4174908 3823473 4275968 4270406 4153409 4175540 3822731 4086269 3881459 4371943 
002562	48 / 49 / 65	PK338	1168490	64	3879518 3929679 3934527 4095047 4151626 4176781 4231518 4277274 4278447 4278489 4281005 4230476 3913185 3821687 4095302 4276784 4280849 4281163 4281294 3956631 3914928 4371930 3818773 4091877 3797868 3905871 3910672 4280721 4281093 3902196 3935616 4000418 4086375 3799529 3901004 3910516 3930052 4096964 4280703 4280941 4175290 4175374 4281391 3910623 3910702 4175401 3910691 4086635 
006031	19 / 79 / 19	PK336	3839982	65	3881597 3909951 3931686 3987067 4003168 4043543 4093159 4093970 4127521 4140259 4151626 4170299 4174768 4175300 4232308 4277951 4278383 4278447 4278489 
016846	9 / 18 / 9	DAL212E	3318436	64	3818770 3881597 3935260 3957394 4095309 4276023 4175394 4174889 3789070 
002153	44 / 156 / 44	PK179	0428815	66	3816993 3904324 3915099 3915155 3915711 3931946 3937160 3970633 3994652 4001588 4003168 4090749 4093612 4095424 4095897 4096706 4132153 4155489 4193260 4229863 4279649 4280648 4280907 4175771 4001999 4174837 4174889 4280140 4281892 3579867 4075429 4094796 4091785 4096262 4157786 4180434 4174617 3901731 3936726 4278034 4280947 3584557 3789439 3968696 
012107	23 / 24 / 40	TAYF	0031619	65	3816997 3883991 3910179 4078277 4091443 4087169 3797266 3992528 3931453 3817087 4175888 3910583 3965315 3799529 3817419 3820768 4074784 4095876 3821766 3905868 4001431 4467145 3915042 
008770	22 / 22 / 28	TH104	0899465	67	4096749 3887957 3931836 3948045 4011555 4094613 4095424 4193260 4231518 3821069 3875914 4260945 4093416 4133513 4180434 3793612 4175521 4181143 3913781 4468375 4086227 4280030 
013613	9 / 44 / 9	DAL212E	0492580	66	3890005 3903833 3909951 3913606 3928826 3964183 4003131 4091672 4092801 
005161	4 / 4 / 45	TH224	0031582	67	3893220 4094815 3928949 3903520 
016885	3 / 3 / 9	DAL212E	3479968	68	3893220 4000366 3930763 
