84.09864
Zero Conflict:37125
Nonzero Conflict:3023
More students interested than room limit: 2
Course	Room	Teacher	Time	Students
007106	4 / 40 / 5	TAYG	3447549	4	3116269 3339061 3339987 3340959 
006035	8 / 16 / 12	TAYSEM	0409737	1	3116464 3160150 3200235 3211884 3219051 3413193 3416354 3417135 
012354	4 / 7 / 4	BYC106	0031756	1	3118205 3225356 3339354 3369591 
007910	2 / 6 / 3	PK127	0031539	1	3118334 3129160 
006524	4 / 12 / 7	DAL1	3451414	1	3119160 3129544 3417314 3437365 
012841	5 / 52 / 5	TAYE	3447549	5	3119160 3227767 3239492 3351574 3364639 
005159	1 / 7 / 4	GYMFIT	0847173	1	3353511 
005291	4 / 9 / 6	PK328	3451425	1	3119907 3227361 3311775 3367107 
007391	11 / 21 / 14	CARP25	0031631	1	3121847 3128188 3149956 3211731 3224773 3226257 3233965 3246608 3257109 3324484 3324812 
002571	3 / 6 / 4	RCCON	3398516	1	3223213 3329765 3423829 
001546	9 / 52 / 15	PK180	0031756	3	3122354 3219743 3340838 3375629 3405422 3416232 3431080 3435628 3440175 
002163	15 / 27 / 16	PK336	3415849	1	3122431 3221305 3234786 3250227 3257419 3258482 3267842 3295955 3314060 3314413 3323539 3324231 3337950 3338017 3340556 
002164	1 / 19 / 14	DAL315	0180723	1	3319023 
011827	18 / 52 / 18	TAYE	3415849	2	3122431 3201354 3221305 3221725 3234786 3250227 3257419 3258482 3267842 3295955 3314060 3314413 3323539 3324192 3324231 3337950 3338017 3340556 
011319	3 / 8 / 5	PK10	0827051	1	3122835 3232841 3388921 
004807	7 / 17 / 13	DAL2	3092667	1	3125605 3176913 3202466 3415627 3420037 3421044 3429706 
003026	23 / 65 / 23	TH110	0492580	4	3125668 3158421 3162076 3184641 3225245 3227882 3228115 3228501 3256354 3269332 3324397 3329662 3329719 3339216 3342833 3397442 3406196 3411108 3413193 3416658 3417055 3417299 3417717 
001552	5 / 12 / 7	TAYB	0129398	1	3125756 3134309 3340292 3405151 3413582 
007070	6 / 16 / 11	DAL10	0316015	1	3126626 3221487 3278685 3338398 3340585 3414201 
007043	15 / 38 / 19	TH224	3453711	1	3127208 3166052 3202052 3211821 3224179 3269263 3337322 3339987 3340003 3397992 3406073 3417791 3422414 3435627 3438550 
002182	4 / 11 / 7	EHIII	1167863	1	3127487 3196629 3212222 3220990 
003464	29 / 52 / 29	TAYE	0599596	1	3128777 3129759 3160884 3184966 3196460 3199401 3201565 3212786 3219120 3219305 3224418 3224476 3225713 3283549 3316620 3337912 3396036 3404179 3404364 3404976 3411258 3414467 3415619 3416073 3417359 3423970 3425578 3426717 3437781 
007896	5 / 19 / 6	DAL315	0031539	2	3129160 3211731 3212073 3416598 3421700 
004877	4 / 8 / 5	TH251	0031373	1	3129360 3197712 3199006 3199632 
009231	5 / 19 / 6	TAYC	0697660	2	3133386 3199412 3211821 3415827 3417075 
001157	3 / 15 / 11	DAL212A	1051497	1	3133451 3396226 3439280 
003454	26 / 52 / 29	PK180	3393009	1	3134217 3223454 3263080 3270555 3275705 3303344 3312800 3314570 3329409 3339567 3340316 3342814 3344264 3352054 3353145 3354609 3358228 3358345 3358378 3396206 3412670 3412755 3414657 3417273 3417284 3449263 
012355	1 / 5 / 2	TH223	0683480	1	3201574 
003460	13 / 40 / 14	DAL300	3393009	2	3134461 3160012 3220362 3227669 3227767 3250514 3312777 3316620 3404204 3404341 3412755 3416286 3425114 
010966	2 / 5 / 3	PK200	0775640	1	3142819 3203637 
003445	10 / 23 / 15	PK278	0031359	1	3156597 3160245 3217605 3264390 3312519 3396208 3413980 3415766 3430142 3436930 
005846	10 / 19 / 14	TAYC	3212821	1	3160321 3163273 3254408 3413574 3420884 3430152 3431226 3432384 3438287 3438471 
005197	5 / 15 / 9	CAN314	1020104	1	3161051 3221418 3251781 3340096 3350298 
011329	7 / 29 / 17	TH102	1165592	1	3161154 3324360 3364124 3369702 3402583 3424318 3432595 
001455	1 / 6 / 4	PK259	0020093	1	3161291 
012286	3 / 38 / 9	TH224	1165592	3	3162779 3202052 3219120 
002941	4 / 10 / 7	EH103	3421211	1	3162926 3228115 3337414 3382205 
009263	10 / 36 / 10	PK25	3433185	2	3162926 3225121 3227361 3230579 3330906 3356374 3358345 3395299 3417001 3433961 
003421	5 / 17 / 13	PK337	0024092	1	3172803 3231817 3252368 3414843 3429524 
004356	8 / 16 / 12	EHI	0847593	1	3173458 3287584 3366745 3375410 3380465 3405695 3406042 3439511 
012883	2 / 13 / 2	TH104	3421211	2	3177222 3411154 
004051	5 / 9 / 7	PK232	0031486	1	3179084 3212197 3217514 3276264 3338205 
008780	7 / 15 / 10	EHII	3451239	1	3180861 3213028 3315530 3358756 3396312 3404204 3417088 
003014	30 / 60 / 33	PK229	3332662	1	3196371 3228501 3314270 3319602 3334029 3339029 3342984 3382662 3389022 3411629 3412825 3414016 3414273 3415489 3415615 3416658 3417000 3417299 3417338 3417717 3426649 3431078 3431651 3433829 3433945 3437089 3438473 3439528 3440075 3440409 
004275	7 / 15 / 10	GOB	0031577	1	3336765 3395942 3423676 3430953 3435248 3437252 3439820 
